Port,Time,Data,Tire ID,lib ver,sensor v,receive v,pressure,z-axis,x-axis,volt(V),temp(กษ),frame id,crc,rssi,period(ms)
1,11-04  01:33:56,EFM1[KUMHO110087A90D9A246B0001010B00FAB051CA826A00D3],87A90D9A,24,1.0.7,1.0.6,-2.4,56.00,2.917,2.98,26.0,51842,00,-45,2
1,11-04  01:33:58,EFM1[KUMHO110087A91CB2246B0002011C00FEB04EC6F26A00BD],87A91CB2,24,1.0.7,1.0.6,-2.0,73.00,4.249,2.98,23.0,50930,00,-67,10224
1,11-04  01:33:59,EFM1[KUMHO110087A90D98246B0001010E00FC9E50C5B66A00C4],87A90D98,24,1.0.7,1.0.6,-2.4,59.00,3.583,2.8,25.0,50614,00,-60,10125
2,11-04  01:33:59,EFM2[KUMHO110087A90D98246B0001010E00FC9E50C5B66A00BA],87A90D98,24,1.0.7,1.0.6,-2.4,59.00,3.583,2.8,25.0,50614,00,-70,2
2,11-04  01:33:59,EFM2[KUMHO110087A91543246B000100E900FBB15166246A00C5],87A91543,24,1.0.7,1.0.6,-2.4,22.00,3.250,2.99,26.0,26148,00,-59,10356
1,11-04  01:34:00,EFM1[KUMHO110087A90FF2246B000100E100E8AF4D294C6A01A9],87A90FF2,24,1.0.7,1.0.6,-2.4,14.00,-3.077,2.97,22.0,10572,01,-87,30989
1,11-04  01:34:00,EFM1[KUMHO110087A91B39246B0002010D00F9AF51602C6A00B8],87A91B39,24,1.0.7,1.0.6,-2.0,58.00,2.584,2.97,26.0,24620,00,-72,10161
2,11-04  01:34:00,EFM2[KUMHO110087A90CCF246B000100E100FAAA4E52766A00B7],87A90CCF,24,1.0.7,1.0.6,-2.4,14.00,2.917,2.92,23.0,21110,00,-73,10098
1,11-04  01:34:00,EFM1[KUMHO110087A90CCF246B000100E100FAAA4E52766A00B6],87A90CCF,24,1.0.7,1.0.6,-2.4,14.00,2.917,2.92,23.0,21110,00,-74,2
2,11-04  01:34:01,EFM2[KUMHO110087A91C14246B000100E500FCB050CA5C6A00C5],87A91C14,24,1.0.7,1.0.6,-2.4,18.00,3.583,2.98,25.0,51804,00,-59,10068
1,11-04  01:34:01,EFM1[KUMHO110087A91C14246B000100E500FCB050CA5C6A00C3],87A91C14,24,1.0.7,1.0.6,-2.4,18.00,3.583,2.98,25.0,51804,00,-61,2
2,11-04  01:34:02,EFM2[KUMHO110087A90C83246B000100E000FAB151B8F66A00BE],87A90C83,24,1.0.7,1.0.6,-2.4,13.00,2.917,2.99,26.0,47350,00,-66,10235
1,11-04  01:34:02,EFM1[KUMHO110087A90C83246B000100E000FAB151B8F66A00C5],87A90C83,24,1.0.7,1.0.6,-2.4,13.00,2.917,2.99,26.0,47350,00,-59,2
